,Unnamed: 0,game_id,max_players,max_playtime,min_age,min_players,min_playtime,name,year_published,artist,category,compilation,designer,family,mechanic,publisher,users_rated,average_rating
28144,161,32409,6.0,30.0,0.0,2.0,30.0,Wiochmen 2,2007,"Marek Mydel,Piotr Stankiewicz","Card Game,Humor,Racing",,"Marek Mydel,Piotr Stankiewicz",Country: Poland,"Hand Management,Modular Board,Variable Player Powers",Kuźnia Gier,238,5.65168
28147,164,32412,5.0,45.0,10.0,3.0,45.0,Palastgeflüster,2007,"Taira Akitsu,Aleksander Karcz,Kathy Kowal,Mira Lob,Dennis Lohausen,Pedro Soto","Bluffing,Card Game,Medieval",,Michael Rieneck,,"Hand Management,Set Collection","Adlung-Spiele,(Self-Published),cosaic,HomoLudicus,Lucrum Games,Schmidt Spiele,Swan Panasia Co., Ltd.",2232,6.78131
28159,176,32424,6.0,240.0,0.0,3.0,200.0,1848: Australia,2007,,"Economic,Trains,Transportation",,"Helmut Ohley,Leonhard ""Lonny"" Orgler","Country: Australia,Region: Oceania,Series: 18xx","Auction/Bidding,Loans,Market,Network and Route Building,Ownership,Stock Holding,Tile Placement,Victory Points as a Resource","GMT Games,(Self-Published),Double-O Games",223,7.96614
28165,182,32431,5.0,75.0,12.0,3.0,60.0,Altamira,2007,,"Animals,Prehistoric",,Peter-Paul Joopen,,"Area Movement,Set Collection",Zoch Verlag,136,5.38937
28173,190,32441,12.0,45.0,14.0,2.0,45.0,Bezzerwizzer,2007,Jesper Bülow,"Party Game,Trivia",,Jesper Bülow,Game: Bezzerwizzer,"Betting and Bluffing,Simultaneous Action Selection","Bezzerwizzer ApS,Mattel,Nordic Games GmbH,Rebel Sp. z o.o.",2662,6.39376
28193,210,32465,4.0,15.0,5.0,2.0,15.0,Didi Dotter,2007,Doris Matthäus,Children's Game,,Ariel Laden,Series: The Chicken Family of Zoch,"Real-Time,Simultaneous Action Selection","The Canadian Group,Gigamic,Piatnik,Zoch Verlag",108,6.1912
28194,211,32466,2.0,30.0,6.0,2.0,30.0,Kogworks,2007,,Abstract Strategy,,"Frank Dyksterhuis,Mark Wood","Category: Combinatorial,Mechanism: Connection,Players: Two Player Only Games",Tile Placement,Dr. Wood Challenge Centre,193,6.06487
28197,214,32469,7.0,30.0,12.0,3.0,15.0,Make You Gunfighters,2007,,"American West,Card Game,Deduction,Fighting,Party Game",,Koushi Kondou,,"Memory,Player Elimination,Role Playing",Bouken,162,6.24352
28198,215,32471,22.0,30.0,0.0,7.0,30.0,Mafia,2007,"Dimitry Davidoff,Piotr Socha","Deduction,Mafia,Negotiation,Party Game",,Dimitry Davidoff,Game: Werewolf / Mafia,"Acting,Memory,Player Elimination,Team-Based Game,Variable Player Powers,Voting","Art. Lebedev Studio,Granna",308,5.69461
28211,228,32484,2.0,15.0,8.0,2.0,15.0,The Battle for Hill 218,2007,"Kaile Dutton,Sarah Pinansky","Card Game,Wargame,World War II",,Darwin Kastle,"Admin: Better Description Needed!,Crowdfunding: Kickstarter,Digital Implementations: Board Game Arena,Players: Two Player Only Games","Hand Management,Take That,Tile Placement",Your Move Games,1763,6.61721
28222,239,32495,5.0,120.0,12.0,2.0,120.0,Murder City,2007,Christopher Shy,"Bluffing,Card Game,Deduction,Murder/Mystery,Science Fiction",,Will Hindmarch,"Theme: City,Theme: Cyberpunk","Betting and Bluffing,Dice Rolling,Set Collection,Storytelling,Variable Player Powers",White Wolf Entertainment AB,154,5.45847
28370,387,32666,6.0,120.0,13.0,3.0,120.0,Wealth of Nations,2008,Gregor Benedetti,"Economic,Industry / Manufacturing,Negotiation,Territory Building",,Nico Carroll,,"Commodity Speculation,Loans,Market,Tile Placement,Trading",TableStar Games,1757,6.91762
28374,391,32670,4.0,10.0,8.0,2.0,10.0,Barista,2007,"Sandra Garavito,Ginormous Industries","Card Game,Dice",,"Steve Edmiston,Tom Phillips",Food & Drink: Coffee,Hand Management,Discovery Bay Games,108,4.29053
28378,395,32674,4.0,60.0,12.0,2.0,60.0,Monsterpocalypse,2008,"Kris Aubin,Roberto Cirillo,Benoit Crosse,Matt DiPietro,Brian Dugas,Kimberly Goddard,Jason Hendricks,Ron Kruzie,Dan LuVisi,Josh Manderville,Ben Misenar,Javier Rodriguez,Ben Saunders,Stuart Spengler,Chris Walton","Collectible Components,Fighting,Miniatures,Science Fiction",,"Matt Wilson (I),Erik Yaple","Collectible: Collectible Miniatures Games,Creatures: Monsters,Theme: Kaiju","Dice Rolling,Variable Phase Order,Variable Player Powers",Privateer Press,980,7.16206
28381,398,32678,2.0,30.0,9.0,1.0,30.0,Hero: Immortal King – The Lair of the Lich,2007,"Laurent ""Lohran"" Couturier,Stéphane Gantiez","Adventure,Card Game,Fantasy",,Emmanuel Beltrando,Series: Hero Immortal King,Dice Rolling,Asmodee,183,5.27596
28382,399,32679,2.0,30.0,9.0,1.0,30.0,Hero: Immortal King – The Den of Dementia,2007,"Emmanuel Beltrando,Bertrand Benoit,Laurent ""Lohran"" Couturier,Stéphane Gantiez","Adventure,Card Game,Fantasy",,Emmanuel Beltrando,Series: Hero Immortal King,Dice Rolling,Asmodee,125,5.28128
28383,400,32680,2.0,30.0,9.0,1.0,30.0,Hero: Immortal King – The Infernal Forge,2007,"Laurent ""Lohran"" Couturier,Stéphane Gantiez,Lohran Gantiez","Adventure,Card Game,Fantasy",,Emmanuel Beltrando,Series: Hero Immortal King,Dice Rolling,Asmodee,138,5.23761
28384,401,32682,12.0,45.0,6.0,2.0,45.0,Scene It? Disney Second Edition,2007,,"Dice,Movies / TV / Radio theme,Party Game,Trivia",,(Uncredited),"Brands: Disney,Components: DVDs,Game: Scene It?,Trivia: Disney",Roll / Spin and Move,"Mattel,Screenlife, LLC",144,5.71181
28385,402,32683,12.0,60.0,8.0,2.0,60.0,Scene It? Harry Potter Second Edition,2007,,"Electronic,Fantasy,Movies / TV / Radio theme,Novel-based,Party Game,Trivia",,(Uncredited),"Books: Harry Potter,Components: DVDs,Game: Scene It?",Roll / Spin and Move,"Mattel,Screenlife, LLC",116,5.41638
28390,407,32688,12.0,45.0,13.0,2.0,45.0,Scene It? Movie Second Edition,2007,,"Electronic,Movies / TV / Radio theme,Party Game,Trivia",,(Uncredited),"Components: DVDs,Game: Scene It?",Roll / Spin and Move,"Mattel,Screenlife, LLC",224,5.68128
28442,459,32743,15.0,20.0,12.0,2.0,20.0,Black Stories: Mystery Edition,2007,Bernhard Skopnik,"Deduction,Fantasy,Horror,Humor,Murder/Mystery,Party Game",,Holger Bösch,Game: Black Stories,Storytelling,"G3,Gen-X Games,Kikigagne?,Magazzini Salani,MINDOK,moses. Verlag GmbH",316,5.48161
28533,50,32838,8.0,240.0,0.0,2.0,240.0,The Battle for Normandy,2009,"Danny Holte,Charles Kibler,Rodger B. MacGowan,Mark Simonitch","Wargame,World War II",,Danny Holte,"Country: France,Region: Normandy (France)","Dice Rolling,Hexagon Grid,Movement Points,Simulation",GMT Games,329,7.92264
28575,92,32885,6.0,15.0,7.0,2.0,15.0,Sequence: States & Capitals,2006,,"Abstract Strategy,Card Game,Educational",,(Uncredited),Game: Sequence,Pattern Building,"Jax, Ltd.",104,5.77548
28591,108,32901,100.0,10.0,8.0,2.0,10.0,Prawo Dżungli,2007,,"Action / Dexterity,Card Game,Party Game",,(Uncredited),,Pattern Recognition,Week End Games,480,6.51667
28616,133,32928,6.0,60.0,10.0,2.0,30.0,Mü and Lots More,2007,Doris Matthäus,"Card Game,Game System","Nyet!,Was sticht?,Willi","Günter Burkhardt,Stefan Dorra,Doris Matthäus,Frank Nestel,Karl-Heinz Schmiel",,"Team-Based Game,Trick-taking","AMIGO,Rio Grande Games",776,7.34346
28631,148,32944,5.0,45.0,10.0,2.0,45.0,Neue Heimat,2007,,"City Building,Economic",,Klaus Zoch,Components: 3-Dimensional (3D),Auction/Bidding,Chili Spiele,778,7.29731
28654,171,32968,5.0,15.0,8.0,2.0,10.0,Shark Alarm!!!,2008,"Johann Rüttinger,Rolf Vogt","Animals,Bluffing,Card Game",,"Christoph Cantzler,Anja Wrede","Animals: Dolphins,Animals: Sharks,Series: Ugly Animals (Drei Magier)","Card Drafting,Hand Management,Memory","Drei Magier Spiele,Swan Panasia Co., Ltd.",208,5.56154
28655,172,32969,5.0,30.0,12.0,2.0,30.0,Innsmouth Escape,2008,"Dave Aikins,Miguel Coimbra,Sławomir Maniak","Adventure,Deduction,Exploration,Fighting,Horror,Miniatures",,Darrell Hardy,"Components: Miniatures,Mechanism: Hidden Movement,Players: One versus Many,Theme: Cthulhu Mythos","Area Movement,Dice Rolling,Hidden Movement,Point to Point Movement,Secret Unit Deployment","Twilight Creations, Inc.",245,5.62351
28673,190,32989,3.0,3600.0,12.0,1.0,3600.0,Axis Empires: Totaler Krieg!,2011,"Alan Emrich,Davide Gallorini,Larry Hoffman,Thomas Prowell,Joe Youst","Wargame,World War II",,"Alan Emrich,Thomas Prowell,Salvatore Vasta",Series: Krieg (Decision Games),"Campaign / Battle Card Driven,Dice Rolling,Hexagon Grid",Decision Games (I),268,8.32765
28674,191,32990,3.0,900.0,12.0,2.0,900.0,Axis Empires: Dai Senso!,2011,"Alan Emrich,Davide Gallorini,Larry Hoffman,Thomas Prowell,Joe Youst","Wargame,World War II",,"Alan Emrich,Thomas Prowell,Salvatore Vasta",Series: Krieg (Decision Games),"Campaign / Battle Card Driven,Dice Rolling,Hexagon Grid",Decision Games (I),158,7.86373
28676,193,32992,4.0,30.0,8.0,2.0,30.0,Tàin,2007,Tomasz Tworek,"Ancient,Bluffing",,Tomasz Z. Majkowski,,Secret Unit Deployment,Wolf Fang P.H.,109,5.35183
28679,196,32995,4.0,60.0,12.0,2.0,60.0,Saigo no Kane,2008,"Joanna Krótka,Agnieszka Miroslaw,Tomasz Tworek",Political,,Marcin Podsiadło,"Country: Japan,Theme: Anime / Manga",Set Collection,Wolf Fang P.H.,129,6.51938
28686,203,33003,2.0,360.0,0.0,2.0,360.0,The Caucasus Campaign,2009,"Tadatoshi Jimbo,Rodger B. MacGowan,Mark Simonitch","Wargame,World War II",,Mark Simonitch,"Players: Two Player Only Games,Region: Caucasus","Dice Rolling,Hexagon Grid,Simulation","GMT Games,Kokusai-Tsushin Co., Ltd. (国際通信社)",421,7.63157
28700,217,33020,4.0,15.0,3.0,2.0,15.0,Bata-Waf,2006,Eric Héliot,"Animals,Card Game,Children's Game",,(Uncredited),Animals: Dogs,,Djeco,111,5.09215
28704,221,33024,5.0,30.0,8.0,2.0,30.0,Mapominoes: Europe,2007,,"Card Game,Educational,Travel",,(Uncredited),Series: Mapominoes,Tile Placement,Wild Card Games (Board Game),189,5.63217
28710,227,33030,2.0,30.0,0.0,2.0,30.0,The Drive on Metz (Second Edition),2008,"Alan Emrich,Ted Koller,Rodger B. MacGowan,Bob Ryer,Mark Simonitch,Redmond A. Simonsen","Wargame,World War II",,"Jim Dunnigan,Alan Emrich","Cities: Metz (France),Country: France,Magazine: C3i,Players: Two Player Only Games,Region: Lorraine (France),Series: Battlesson (Victory Point Games)","Dice Rolling,Hexagon Grid","GMT Games,RBM Studio,Victory Point Games",215,6.27721
28718,235,33040,6.0,60.0,0.0,2.0,60.0,Humans!!!,2008,,"Fighting,Horror,Humor,Zombies",,"Todd Breitenstein,Kerry Breitenstein",Game: Zombies!!! (Twilight Creations),"Hand Management,Tile Placement,Variable Player Powers","Edge Entertainment,Twilight Creations, Inc.",719,5.79725
28745,262,33071,4.0,45.0,10.0,2.0,45.0,Master Labyrinth,2007,Joachim Krause,"Fantasy,Maze,Puzzle,Racing",,Max J. Kobbert,"Creatures: Dragons,Game: Labyrinth","Dice Rolling,Modular Board,Set Collection",Ravensburger,283,5.81625
28750,267,33077,2.0,180.0,0.0,2.0,180.0,Breakthrough: Cambrai,2011,Nicolás Eskubi,"Wargame,World War I",,Michael Rinella,"Cities: Cambrai (France),Players: Two Player Only Games",Area-Impulse,Multi-Man Publishing,196,7.00281
28759,276,33088,4.0,15.0,6.0,2.0,15.0,Chabyrinthe,2007,"Stéphane Escapa,Arnu West","Animals,Card Game,Maze",,Antoine Bauza,Animals: Cats,"Card Drafting,Connections,Modular Board,Pick-up and Deliver","Asmodee,Cocktail Games,Oliphante,Rebel Sp. z o.o.,Reflexshop",708,6.09587
28775,292,33107,6.0,90.0,12.0,3.0,90.0,Senji,2008,Bertrand Benoit,"Bluffing,Medieval,Negotiation",,"Bruno Cathala,Serge Laget",Country: Japan,"Area Movement,Auction/Bidding,Card Drafting,Dice Rolling,Hand Management,Order Counters,Set Collection,Simultaneous Action Selection,Trading",Asmodee,1470,6.51673
28779,296,33112,6.0,120.0,0.0,3.0,120.0,War,1972,,"Territory Building,Wargame",,"Oded Grajew,Gerald Reiss,Roberto Schussel,Valdir Rovai",Game: War (Grow Jogos),"Area Majority / Influence,Area Movement,Area-Impulse,Dice Rolling,Set Collection","Grow Jogos e Brinquedos,Guau,Royal",199,5.4266
28813,330,33150,16.0,60.0,12.0,4.0,60.0,Cranium WOW,2007,Gary Baseman,"Movies / TV / Radio theme,Party Game,Trivia,Word Game",,"Whit Alexander,Richard Tait","Components: Play Dough / Modeling Clay,Game: Cranium","Acting,Line Drawing,Paper-and-Pencil,Roll / Spin and Move,Singing,Team-Based Game","Cranium, Inc.,Hasbro",944,6.14361
28817,334,33154,4.0,45.0,10.0,2.0,30.0,Wasabi!,2008,Josh Cappel,Territory Building,,"Josh Cappel,Adam Gertzbein","Food & Drink: Sushi,Organizations: The Game Artisans of Canada,Theme: Food / Cooking","Hand Management,Pattern Building,Set Collection,Tile Placement","Pegasus Spiele,Z-Man Games, Inc.",4753,6.53724
28818,335,33155,5.0,45.0,10.0,2.0,45.0,Burrows,2010,Josh Cappel,"Abstract Strategy,Animals",,Jeb Havens,Animals: Gophers,Tile Placement,"Z-Man Games, Inc.",361,6.19435
28819,336,33156,2.0,30.0,8.0,2.0,30.0,Magnet,2008,Andy Hull,Abstract Strategy,,Matt Calkins,Players: Two Player Only Games,"Grid Movement,Secret Unit Deployment","Z-Man Games, Inc.",138,6.20779
28821,338,33159,5.0,40.0,12.0,2.0,40.0,Middle Kingdom,2008,"Oliver Castañeda,Paul Gerardi","Ancient,Card Game",,Thomas Lehmann,Country: China,"Auction/Bidding,Hand Management,Set Collection","Z-Man Games, Inc.",385,5.98208
28822,339,33160,5.0,90.0,12.0,3.0,90.0,Endeavor,2009,"Josh Cappel,Klemens Franz,Hanno Girke","Exploration,Nautical,Renaissance",,"Carl de Visser,Jarratt Gray","History: Age of Discovery,Theme: Colonial","Area Majority / Influence,Card Drafting,Hand Management,Set Collection","Z-Man Games, Inc.,Albi,Hobby Japan,Lookout Games,Wargames Club Publishing,White Goblin Games,Ystari Games,Взрослые дети",9129,7.39738
28834,351,33172,4.0,60.0,14.0,2.0,60.0,Monastery,2008,"Colin Jones,Geraldine O'Reilly","Medieval,Religious",,"Gary Dicken,Steve Kendall,Phil Kendall",,Tile Placement,Ragnar Brothers,357,6.27047
28855,372,33196,6.0,45.0,10.0,2.0,45.0,Genji,2008,Dylan Kirk,"Card Game,Novel-based",,Dylan Kirk,"Country: Japan,Organizations: The Game Artisans of Canada","Hand Management,Modular Board,Set Collection","Z-Man Games, Inc.",401,5.8408
29002,19,33359,5.0,20.0,0.0,2.0,20.0,Weilong,2007,Andy Kurzen,"Dice,Mythology,Print & Play",,Robert M. Carroll,"Country: China,Creatures: Dragons","Dice Rolling,Set Collection,Variable Player Powers","(Self-Published),(Web published)",110,5.75591
29064,81,33427,6.0,20.0,7.0,2.0,20.0,S'quarrels: A Game of Absolute Nuts,2007,Bryan R. Lovell,Card Game,,Bryan R. Lovell,Animals: Squirrels,"Hand Management,Set Collection","Home Lantern Games, LLC",314,6.00162
29071,88,33434,6.0,120.0,0.0,2.0,120.0,Funkenschlag: EnBW,2007,"Lars-Arne ""Maura"" Kalusky","Economic,Industry / Manufacturing",,Friedemann Friese,"Game: Power Grid,Promotional: Promo Board Games","Auction/Bidding,Network and Route Building",2F-Spiele,186,8.24796
29088,105,33451,4.0,45.0,13.0,2.0,45.0,The Red Dragon Inn 2,2008,"Rose Besch,Kennon James,Doug Kovacs,Rhonda Libbey,Beth Trott","Card Game,Fantasy,Humor,Medieval,Party Game",,"Cliff Bohm,Geoff Bottone,Colleen Skadl",Game: The Red Dragon Inn,"Betting and Bluffing,Hand Management,Player Elimination,Variable Player Powers","SlugFest Games,Arclight,Hobby World,Pegasus Spiele",2853,6.90304
29103,120,33468,1.0,5.0,11.0,1.0,5.0,Zombie in My Pocket,2007,"Carol LaGrow,Kwanchai Moriya","Adventure,Card Game,Exploration,Fighting,Horror,Print & Play,Zombies",,Jeremiah Lee,"Creatures: Zombies,Players: Games with Solitaire Rules,Players: Solitaire Only Games,Series: ... in my Pocket","Modular Board,Pick-up and Deliver,Prisoner's Dilemma,Tile Placement","(Self-Published),(Web published)",1668,6.30277
29121,138,33495,12.0,45.0,0.0,4.0,45.0,Time's Up! Édition purple,2007,,"Humor,Memory,Party Game",,Peter Sarrett,Game: Time's Up!,"Acting,Communication Limits,Memory,Team-Based Game","Asmodee,Repos Production,Tíkallinn",329,7.248
29187,204,33581,5.0,120.0,0.0,2.0,120.0,Mwahahaha!,2008,"Mike Chaney,Casey Edwards","Card Game,Humor",,"Mike Chaney,Ken Cliffe",,,White Wolf Entertainment AB,456,5.66903
29198,215,33599,2.0,10.0,5.0,2.0,10.0,Der schwarze Pirat: Das Duell,2007,Guido Hoffmann,"Action / Dexterity,Children's Game,Nautical,Pirates",,Guido Hoffmann,Players: Two Player Only Games,Point to Point Movement,HABA,101,5.33366
29202,219,33604,8.0,30.0,13.0,3.0,30.0,Say Anything,2008,,"Humor,Party Game",,"Dominic Crapuchettes,Satish Pillalamarri","Components: Dry Erase Markers / Dry Erase Surfaces,Game: Say Anything","Betting and Bluffing,Paper-and-Pencil,Player Judge","North Star Games,Albi,Dr. Wood Challenge Centre,Kanga Games,Magellan,Tactic",5675,6.74376
29220,237,33624,36.0,120.0,0.0,2.0,120.0,Trivial Pursuit Deluxe,2007,(Uncredited),"Dice,Party Game,Trivia",,(Uncredited),Game: Trivial Pursuit,"Dice Rolling,Roll / Spin and Move","Hasbro,Horn Abbot International,Parker Brothers",176,5.86684
29237,254,33643,4.0,45.0,6.0,2.0,30.0,Whoowasit?,2007,"Graham Howells,Walter Pepperle","Animals,Children's Game,Deduction,Electronic,Fantasy",Wer war's?: Limitierte Jubiläumsausgabe,Reiner Knizia,"Animals: Cats,Animals: Dogs,Animals: Donkeys,Animals: Goats,Animals: Horses,Animals: Owls,Animals: Snakes,Creatures: Dragons,Creatures: Ghosts,Game: Wer War's","Cooperative Game,Dice Rolling",Ravensburger,851,6.81075
29258,275,33665,2.0,180.0,0.0,2.0,180.0,Battle Above the Clouds,2010,"Nicolás Eskubi,Charles Kibler,Mort Künstler","American Civil War,Wargame",,"Ed Beach,Mike Belles","Country: USA,Players: Two Player Only Games,Series: Great Campaigns of the American Civil War (Avalon Hill/MMP),States: Georgia,States: Tennessee",Hexagon Grid,"Hasbro,Multi-Man Publishing",271,8.14564
29318,335,33732,5.0,60.0,10.0,3.0,60.0,Tulipmania 1637,2009,Charlie Paull,Economic,,Scott Nicholson,"Country: The Netherlands,Theme: Flowers","Auction/Bidding,Commodity Speculation,Simultaneous Action Selection","JKLM Games,El Viejo Tercio",706,6.15419
29342,359,33759,4.0,60.0,12.0,2.0,60.0,Omega Centauri,2014,Nemanja Stankovic,"Civilization,Science Fiction",,Nigel Buckle,Mechanism: 4X,"Modular Board,Variable Phase Order","(Web published),Spiral Galaxy Games",239,6.93494
29349,366,33767,3.0,10.0,0.0,2.0,10.0,Yavalath,2007,Néstor Romeral Andrés,Abstract Strategy,Apocalypse Pack,Cameron Browne,"Category: Combinatorial,Category: n in a row,Misc: Computer-Generated Games","Hexagon Grid,Pattern Building","(Web published),nestorgames",236,7.13072
29367,384,33785,2.0,60.0,0.0,2.0,60.0,Elsenborn Ridge: Tactical Combat During the Battle of the Bulge – A Panzer Grenadier Game,2008,Guy Riessen,"Wargame,World War II",,Michael Bennighof,"Country: Belgium,History: World War II (Battle of the Bulge),Players: Two Player Only Games,Series: Panzer Grenadier (Avalanche)",Hexagon Grid,Avalanche Press Ltd.,128,7.62383
29381,398,33801,10.0,30.0,7.0,2.0,30.0,UNO: The Simpsons – Special Edition Card Game,2003,,"Card Game,Movies / TV / Radio theme",,(Uncredited),"Game: UNO,TV Shows: The Simpsons",Hand Management,"Mattel,Sababa Toys, Inc.",134,5.77481
29445,462,33876,6.0,90.0,12.0,2.0,90.0,Killer Bunnies and the Journey to Jupiter,2008,Jonathan Young,"Card Game,Dice,Fighting,Humor,Science Fiction",,Jeffrey Neil Bellinger,"Animals: Rabbits,Game: Killer Bunnies,Space: Jupiter","Dice Rolling,Grid Movement,Hand Management,Modular Board",Playroom Entertainment,334,5.58398
29474,491,33911,5.0,30.0,8.0,3.0,30.0,Bacchus' Banquet,2008,Chris McGloughlin,"Ancient,Bluffing,Card Game,Political",,Fréderic Moyersoen,Ancient: Rome,Variable Player Powers,Mayfair Games,636,5.98204
29483,1,33924,2.0,60.0,0.0,1.0,60.0,Nightfighter,2011,"Lee Brimmicombe-Wood,Rodger B. MacGowan,Ian Wedge","Aviation / Flight,Wargame,World War II",,Lee Brimmicombe-Wood,,"Dice Rolling,Hexagon Grid,Secret Unit Deployment,Simulation",GMT Games,240,7.39654
29514,32,33962,4.0,180.0,0.0,2.0,180.0,Match of the Season,2008,,"Card Game,Dice,Economic,Sports",,Thijs Niesink,Sports: Football / Soccer,"Auction/Bidding,Card Drafting,Trading","Hattrick,Raven Distribution",111,5.98198
29515,33,33964,4.0,20.0,8.0,2.0,20.0,Shokoba,2007,"Janique Crépeau,Maciej Szymanowicz","Animals,Card Game,Children's Game,Number",,Michael Ferch,Card Games: Fishing,"Hand Management,Set Collection","Asmodee,Egmont Polska,FoxMind,GaGa Games,GoKids 玩樂小子,MJ Games",112,5.81804
29518,36,33967,6.0,30.0,7.0,2.0,30.0,Take the Train,2007,,"Card Game,Trains",,(Uncredited),,"Hand Management,Network and Route Building",The United States Playing Card Company,169,5.22181
29530,48,33984,6.0,30.0,8.0,2.0,30.0,Code Omega,2008,Victor Boden,"Puzzle,Real-time",,Grzegorz Rejchtman,,Tile Placement,Schmidt Spiele,132,6.08987
29542,60,34001,2.0,30.0,8.0,2.0,30.0,Burgen Land,2008,Michael Menzel,"Dice,Medieval",,Wolfgang A. Lehmann,"Players: Two Player Only Games,Series: Easy Play (Schmidt Spiele)","Dice Rolling,Modular Board,Push Your Luck,Tile Placement",Schmidt Spiele,290,6.09779
29545,63,34004,5.0,20.0,8.0,2.0,20.0,Big Points,2008,,Abstract Strategy,Easy Play XXL,"Brigitte Ditt,Wolfgang Ditt",Series: Easy Play (Schmidt Spiele),Set Collection,Schmidt Spiele,876,6.4666
29549,67,34010,4.0,60.0,10.0,2.0,60.0,Journey to the Center of the Earth,2008,Franz Vohwinkel,"Adventure,Novel-based,Travel",,Rüdiger Dorn,"Authors: Jules Verne,Series: Literature (Kosmos)","Hand Management,Point to Point Movement,Set Collection","999 Games,Competo / Marektoy,Galakta,Kaissa Chess & Games,KOSMOS,Mayfair Games,Piatnik,Zvezda",744,6.27589
29551,69,34014,4.0,45.0,10.0,2.0,45.0,Ruin,2008,,Exploration,,Terry Miller Associates,,Modular Board,Buffalo Games,108,5.56667
29608,126,34084,5.0,45.0,9.0,3.0,45.0,Witch's Brew,2008,"Julien Delval,Harald Lieske","Bluffing,Card Game,Fantasy",,Andreas Pelikan,"Series: Alea Medium Box,Theme: Witches","Hand Management,Simultaneous Action Selection","alea,Ravensburger,Filosofia Éditions,Rio Grande Games,Swan Panasia Co., Ltd.,uplay.it edizioni",3672,7.01379
29620,138,34098,2.0,240.0,0.0,2.0,240.0,Guelphs and Ghibellines,2009,,"Medieval,Wargame",,Piergennaro Federico,"Country: Italy,History: Italian City-States,History: Wars of the Guelphs and Ghibellines,Players: Two Player Only Games,Series: Guelphs and Ghibellines","Hexagon Grid,Simulation",Europa Simulazioni,102,7.79216
29637,155,34119,6.0,120.0,12.0,1.0,120.0,Tales of the Arabian Nights,2009,"Peter Gifford,Dan Harding","Adventure,Arabian,Exploration,Fantasy,Travel",,"Anthony J. Gallela,Eric Goldberg,Kevin Maroney,Zev Shlasinger","Cities: Samarkand (Uzbekistan),Country: Saudi Arabia,Country: Uzbekistan,Crowdfunding: Giochistarter,Folk Tales & Fairy Tales: Aladdin,Mythology: Arabian,Players: Games with Solitaire Rules,Region: Middle East","Dice Rolling,Narrative Choice / Paragraph,Point to Point Movement,Role Playing,Solo / Solitaire Game,Storytelling,Variable Player Powers","Z-Man Games, Inc.,Devir,Filosofia Éditions,Giochix.it,MYBG Co., Ltd.",11741,7.19478
29644,162,34127,4.0,30.0,8.0,2.0,30.0,Ticket to Ride: The Card Game,2008,"Cyrille Daujean,Julien Delval,Alan R. Moon","Card Game,Trains",,Alan R. Moon,"Game: Ticket to Ride,Versions & Editions: Card Versions of Non-Card Games","Hand Management,Memory,Set Collection","Days of Wonder,Bergsala Enigma (Enigma),Edge Entertainment,Lautapelit.fi",3932,6.1333
29666,184,34152,2.0,60.0,14.0,2.0,60.0,Grind,2009,,"Miniatures,Science Fiction,Sports",,"Duncan Huffman,Doug Seacat,Jason Soles,Rob Stoddard,Matt Wilson (I)","Players: Two Player Only Games,Theme: Robots,Theme: Sci-Fi Sports","Dice Rolling,Variable Player Powers",Privateer Press,224,6.37446
29677,195,34166,4.0,20.0,8.0,2.0,20.0,Finito!,2008,,Abstract Strategy,Easy Play XXL,Hartmut Kommerell,Series: Easy Play (Schmidt Spiele),"Dice Rolling,Tile Placement",Schmidt Spiele,770,6.10315
29679,197,34169,6.0,40.0,0.0,2.0,40.0,Potion-Making: Practice,2005,,"Card Game,Fantasy",Potion-Making (Gift Edition),Sergey Machin,Theme: Alchemy,"Hand Management,Set Collection","G3,Hobby World,Rightgames RBG SIA,Stolitsa Design Group",819,6.17928
29681,199,34173,11.0,30.0,12.0,4.0,30.0,"Si, Oscuro Padrino!",2007,Demis Savini,"Card Game,Economic,Humor,Mafia,Murder/Mystery,Party Game",,Gianluca Santopietro,,"Acting,Cooperative Game,Role Playing,Storytelling","Edge Entertainment,Hobby World,Stratelibri",115,5.41261
29693,211,34185,4.0,45.0,10.0,2.0,45.0,Cartagena: Die Goldinsel,2008,"Martin Hoffmann,Claus Stephan","Adventure,Pirates,Racing",,Rüdiger Dorn,"Cities: Cartagena (Colombia),Game: Cartagena",,Winning Moves Germany,153,5.96111
29701,219,34194,5.0,45.0,10.0,2.0,45.0,Aquaretto,2008,Design/Main,Animals,,Michael Schacht,Game: Coloretto,"Set Collection,Tile Placement","ABACUSSPIELE,Gém Klub Kft.,Playgo Ltd (Hong Kong),Rio Grande Games",2458,6.97882
29724,242,34219,4.0,30.0,10.0,2.0,30.0,Biblios,2007,"Steve Finn,David Palumbo","Card Game,Medieval,Religious",,Steve Finn,"Theme: Art,Theme: Books / Libraries","Auction/Bidding,Auction: Turn Order Until Pass,Card Drafting,Commodity Speculation,Hand Management,Set Collection","Dr. Finn's Games,Asterion Press,GaGa Games,Hobby Japan,HomoLudicus,IELLO,Kaissa Chess & Games,More Fun Co., Ltd.,One Moment Games,Origames,Rocks Games",15322,7.194
29726,244,34221,2.0,20.0,0.0,2.0,20.0,Atoll,2008,,Abstract Strategy,,Mark Steere,"Category: Combinatorial,Digital Implementations: Yucata,Mechanism: Connection,Players: Two Player Only Games","Paper-and-Pencil,Pattern Building",Mark Steere Games,138,5.7158
