,Unnamed: 0,game_id,max_players,max_playtime,min_age,min_players,min_playtime,name,year_published,artist,category,compilation,designer,family,mechanic,publisher,users_rated,average_rating
84818,428,265256,6.0,25.0,8.0,2.0,20.0,PUSH,2018,Prospero Hall,Card Game,,Prospero Hall,,Push Your Luck,Ravensburger,1007,6.89545
84819,429,265260,2.0,60.0,12.0,2.0,30.0,Revolution of 1828,2019,Alexander Jung,Political,,Stefan Feld,"Country: USA,Players: Two Player Only Games,Political: Elections",,"Frosted Games,Arrakis Games,Pegasus Spiele,Renegade Game Studios",297,6.52367
84823,433,265285,4.0,30.0,8.0,2.0,30.0,Queenz: To Bee or Not to Bee,2019,Vincent Dutrait,"Animals,Farming",,"Bruno Cathala,Johannes Goupy","Animals: Bees,Animals: Insects,Components: Polyominoes","Pattern Building,Set Collection","Mandoo Games,Arclight,Broadway Toys LTD,Maldito Games,Rio Grande Games,Studio Supernova,TLAMA games,TWOPLUS Games",398,7.17462
84838,448,265381,8.0,30.0,16.0,3.0,20.0,DANY,2019,Antoine Baillargeau,"Bluffing,Deduction,Party Game",,Phil Vizcarro,,"Hidden Roles,Team-Based Game","GRRRE Games,Buró,Dal Tenda,Mercurio,Swan Panasia Co., Ltd.",218,6.90821
84844,454,265399,4.0,40.0,14.0,2.0,20.0,Godsforge,2019,Diego L. Rodríguez,"Card Game,Dice",,Brendan Stern,,"Dice Rolling,Simultaneous Action Selection",Atlas Games,140,6.62821
84845,455,265402,5.0,90.0,12.0,2.0,75.0,In the Hall of the Mountain King,2019,"Josh Cappel,Kwanchai Moriya","Fantasy,Territory Building",,"Jay Cormier,Graeme Jahns","Components: Game Trayz Inside,Components: Polyominoes,Creatures: Trolls,Crowdfunding: Kickstarter,Organizations: The Game Artisans of Canada,Theme: Mining","Grid Coverage,Network and Route Building,Pick-up and Deliver,Team-Based Game,Tile Placement","Burnt Island Games,Gen-X Games,IELLO,Skellig Games",2399,7.82354
84853,463,265430,4.0,90.0,16.0,2.0,60.0,Elekt,2019,"Krzysztof Głośnicki,Katarzyna Malinowska",Fantasy,,Krzysztof Głośnicki,"Admin: Better Description Needed!,Crowdfunding: zagramw.to,Game: Elekt",Hand Management,What the Frog,168,7.76756
84870,480,265489,2.0,90.0,0.0,1.0,60.0,Gettysburg,2018,"Charles Kibler,Rodger B. MacGowan","American Civil War,Wargame",,Mark Herman,"Magazine: C3i,States: Pennsylvania","Dice Rolling,Hexagon Grid",RBM Studio,214,7.29642
84875,485,265524,5.0,30.0,8.0,2.0,30.0,Ramen Fury,2019,,Card Game,,"Forrest-Pruzan Creative,Prospero Hall","Food & Drink: Ramen,Theme: Food / Cooking",Take That,"Mixlore,Asmodee Italia,Gém Klub Kft.,Rebel Sp. z o.o.",742,6.2899
84887,497,265575,4.0,90.0,12.0,2.0,60.0,Materia Prima: The Alchemists Guild,2020,Florian Pfab,"Adventure,Fantasy,Medieval",,Florian Pfab,"Admin: Unreleased Games,Crowdfunding: Kickstarter,Players: Games with expansions that add solo play,Theme: Alchemy","Dice Rolling,Grid Movement,Modular Board,Pick-up and Deliver,Take That,Variable Player Powers",Peacock Tabletops,120,7.50042
