Unnamed: 0,Unnamed: 0.1,game_id,max_players,max_playtime,min_age,min_players,min_playtime,name,year_published,artist,category,compilation,designer,family,mechanic,publisher,users_rated,average_rating,x,y,z
50811,355,118337,4.0,75.0,12.0,2.0,75.0,Urbanization,2012,Marko Fiedler,City Building,,Johnny Ebsen,"Crowdfunding: Kickstarter,Series: Yellow Wave Box (Queen)",Variable Player Powers,Queen Games,460,6.20848,-34.372307,-21.057482,20.752396
50812,356,118339,4.0,30.0,14.0,2.0,30.0,The Hunger Games: District 12 Strategy Game,2012,"Christopher Guild,Michaela Kienle,Chris Raimo","Movies / TV / Radio theme,Novel-based",,"Christopher Guild,Bryan Kinsella,Andrew Parks","Admin: Better Description Needed!,Books: The Hunger Games",Worker Placement,"KOSMOS,NECA,WizKids",290,5.18617,4.6621637,26.912025,45.78462
50817,361,118385,2.0,30.0,13.0,2.0,30.0,Pocket Battles: Macedonians vs. Persians,2012,Karim Chakroun,"Ancient,Wargame",,"Paolo Mori,Francesco Sirocchi","Country: Greece,History: Wars of Alexander the Great,Players: Two Player Only Games,Series: Pocket Battles (Z-Man)","Area Movement,Dice Rolling,Square Grid","Z-Man Games, Inc.",375,6.80839,-41.007668,15.780504,-35.596153
50825,369,118402,4.0,40.0,8.0,2.0,40.0,Maharani,2012,"Marko Fiedler,Claus Stephan",Abstract Strategy,,Wolfgang Panning,"Country: India,Series: Yellow Wave Box (Queen)","Pattern Building,Set Collection,Tile Placement",Queen Games,898,6.57447,22.600906,-41.845066,-4.8590193
50827,371,118410,6.0,10.0,6.0,2.0,10.0,Dirty Pig,2012,"Frank Bebenroth,Katja Witt","Animals,Card Game",Drecksau To Go,Frank Bebenroth,"Animals: Pigs,Series: Happy Planet (North Star Games)",Take That,"KOSMOS,Kaissa Chess & Games,Mandoo Games,Mercurio,North Star Games,White Goblin Games",1312,6.10838,6.4691634,8.209385,26.406898
50830,374,118418,4.0,30.0,13.0,2.0,30.0,Divinare,2012,Ben Carre,"Bluffing,Card Game,Deduction",,Brett J. Gilbert,Theme: Psychic Powers,"Betting and Bluffing,Card Drafting,Hand Management,Memory",Asmodee,1533,6.72351,24.501513,13.265974,-5.9445796
50839,383,118452,4.0,45.0,10.0,2.0,45.0,Die Tore der Welt: Das Kartenspiel,2012,Michael Menzel,"Card Game,Medieval,Novel-based",,Walter Schranz,"Authors: Ken Follett,Series: Literature (Kosmos)",,KOSMOS,155,6.11032,47.73978,7.5217533,24.354694
50855,399,118497,5.0,20.0,10.0,3.0,20.0,Trick of the Rails,2011,"Ryo Nyamo,Ian O'Toole,Todd Sanders","Card Game,Trains",,Hisashi Hayashi,Digital Implementations: Board Game Arena,"Stock Holding,Trick-taking","Japon Brand,OKAZU Brand,Terra Nova Games",925,6.63878,38.12266,57.801178,-5.1331244
50867,411,118515,4.0,20.0,8.0,2.0,20.0,Piranhas,2012,Michael Menzel,"Card Game,Children's Game,Real-time",,Reiner Knizia,Animals: Fish / Fishes,Pattern Recognition,"Kaissa Chess & Games,KOSMOS",134,5.95075,43.247696,-46.214096,32.14767
50881,425,118536,6.0,90.0,13.0,1.0,90.0,Police Precinct,2013,"George Patsouras,Marco Primo","Bluffing,Deduction,Murder/Mystery,Negotiation",,Ole Steiness,"Crowdfunding: Kickstarter,Game: Police Precinct,Players: Games with Solitaire Rules","Cooperative Game,Dice Rolling,Hand Management,Point to Point Movement,Variable Player Powers",Common Man Games,1651,6.89745,53.314766,16.94197,-18.90869
50886,430,118553,4.0,20.0,7.0,1.0,20.0,Ubongo Trigo,2012,"Karl-Otto Homes,Nicolas Neubauer,Bernd Wagenfeld","Puzzle,Real-time",,Grzegorz Rejchtman,Game: Ubongo,,"KOSMOS,Competo / Marektoy,Egmont Polska,GP Games,Korea Boardgames Co., Ltd.",175,6.52017,36.148792,-32.86494,5.1229825
50897,441,118568,4.0,20.0,5.0,2.0,20.0,Ubongo Junior,2012,Annette Nora Kara,"Puzzle,Real-time",,Grzegorz Rejchtman,"Game: Ubongo,Versions & Editions: Junior Versions of Grown-Up Games",,"KOSMOS,Devir,Four Esses,White Goblin Games",136,6.64477,36.14879,-32.86494,-7.9842577
50905,449,118610,4.0,45.0,8.0,2.0,45.0,Santa Cruz,2012,Michael Menzel,"Exploration,Transportation",,Marcel-André Casasola Merkle,"Digital Implementations: Yucata,Islands: Madeira (Portugal)","Connections,End Game Bonuses,Hand Management,Point to Point Movement,Score-and-Reset Game","Filosofia Éditions,Giochi Uniti,Hans im Glück,Lautapelit.fi",1206,6.67113,32.95053,51.835686,-6.0777993
50924,468,118695,4.0,30.0,8.0,2.0,30.0,Riff Raff,2012,Michael Menzel,"Action / Dexterity,Party Game,Pirates",,Christoph Cantzler,Components: 3-Dimensional (3D),,Zoch Verlag,1724,6.94423,23.190876,42.17683,-19.176718
50928,472,118703,5.0,60.0,14.0,2.0,30.0,20th Century Limited,2015,James Davis (II),"Card Game,Economic,Trains,Transportation",,"Carla Horger,Jeff Horger",Country: USA,Network and Route Building,Rio Grande Games,235,6.85426,-27.08135,-59.18281,-40.206886
50930,474,118705,8.0,30.0,8.0,2.0,30.0,Ghost Blitz 2,2012,Gabriela Silveira,"Action / Dexterity,Card Game,Children's Game,Party Game,Real-time",,Jacques Zeimet,"Creatures: Ghosts,Game: Geistesblitz",Pattern Recognition,"999 Games,Competo / Marektoy,Devir,Egmont Polska,Gigamic,Giochi Uniti,Jolly Thinkers,KADABRA,Lifestyle Boardgames Ltd,Lion Rampant Imports,MINDOK,Swan Panasia Co., Ltd.,Zoch Verlag",1644,6.77233,45.291824,-46.156,-5.979468
50944,488,118776,4.0,60.0,13.0,2.0,45.0,Tahiti,2012,Chuck Whelon,"Exploration,Mythology,Nautical,Transportation",,David E. Whitcher,"Animals: Fish / Fishes,Crowdfunding: Kickstarter,Islands: French Polynesia (France),Region: Oceania,Theme: Tropical,Theme: Tropical Islands","Action Points,Grid Movement,Modular Board,Pick-up and Deliver,Set Collection,Tile Placement",Minion Games,527,6.35247,-22.683136,-37.824696,13.768296
50966,10,118950,8.0,30.0,14.0,3.0,30.0,Mafia,2012,"Fabio Michelan,Renato Silva Sasdelli",Mafia,,Renato Silva Sasdelli,,"Card Drafting,Hand Management,Team-Based Game,Variable Player Powers","Copag Cards,Galápagos Jogos",112,6.20357,68.63768,37.556973,21.7257
50969,13,118953,7.0,20.0,6.0,2.0,20.0,Olympicards,2012,,"Card Game,Sports",,Paolo Mori,Sports: Olympics,Hand Management,"999 Games,Giochi Uniti",121,6.09835,50.164875,39.679638,24.997501
50971,15,118955,7.0,15.0,10.0,3.0,15.0,Zombie! Run for Your Lives!,2012,,"Card Game,Humor,Party Game,Zombies",,Danila Goryunov,,Hand Management,"G3,Rightgames RBG SIA",150,4.42533,-0.3862317,74.07546,40.637676
50979,23,119012,5.0,120.0,13.0,2.0,120.0,The Capitals,2013,Michael Christopher,"City Building,Economic",,Thiago Boaventura,,"Action Points,Card Drafting,Tile Placement",Mercury Games,1021,6.94402,-33.114315,-22.38411,-37.751373
51002,46,119109,6.0,60.0,13.0,2.0,60.0,"Go Goblin, Go!",2012,Carl Folmer,"Fantasy,Racing",,Jon David Faeth,Creatures: Goblins,Betting and Bluffing,"Twilight Creations, Inc.",115,5.87157,30.228384,12.319138,35.480705
51007,51,119193,4.0,20.0,7.0,2.0,20.0,Crazy Creatures of Dr. Gloom,2012,Dennis Lohausen,"Card Game,Number",,Michael Schacht,Card Games: Shedding / Stops,"Hand Management,Take That","White Goblin Games,Stronghold Games",469,5.62002,39.818058,-64.86203,61.958164
51016,60,119265,5.0,60.0,10.0,3.0,30.0,Hospital Rush,2014,Olaf Hänsel,"Humor,Medical",,"Thomas Kjølby Laursen,Kåre Storgaard,Steen Thomsen","Contests: Fastaval Design Competition,Medical: Hospitals / Clinics","Variable Phase Order,Variable Player Powers,Worker Placement","eggertspiele,Pegasus Spiele",286,5.95252,35.92381,-22.620476,31.991724
51040,84,119316,4.0,15.0,8.0,2.0,15.0,United Square,2011,,Abstract Strategy,,Julien Selz,"Components: 5 x 5 Grids,Digital Implementations: Board Game Arena",Tile Placement,United Square,120,5.364,3.8203297,-29.158884,49.291973
51044,88,119337,5.0,120.0,14.0,3.0,120.0,Aeroplanes: Aviation Ascendant,2012,Patricia Raubo,"Aviation / Flight,Economic,Transportation",,Martin Wallace,,"Area Majority / Influence,Card Drafting,Dice Rolling,Network and Route Building,Point to Point Movement","Mayfair Games,Phalanx Games Polska",751,6.58756,-56.481586,11.322583,-4.721288
51063,107,119391,4.0,60.0,10.0,2.0,60.0,Il Vecchio,2012,Andreas Resch,"Religious,Renaissance",,Rüdiger Dorn,"Cities: Florence (Tuscany, Italy),Country: Italy","Action Retrieval,Area Majority / Influence,Card Drafting,Dice Rolling,End Game Bonuses,Events,Point to Point Movement,Resource to Move,Set Collection,Variable Player Powers,Worker Placement","Hall Games,Pegasus Spiele,Tasty Minstrel Games,uplay.it edizioni",1567,6.91556,-13.880859,-31.383192,-19.017405
51066,110,119407,6.0,15.0,8.0,3.0,15.0,Dixit Jinx,2012,Dominique Ehrhard,"Bluffing,Card Game,Humor,Party Game,Real-time",,Josep M. Allué,"Game: Dixit,Mechanism: Judging Games,Organizations: Board Games Association of Creators in Spain (LUDO)","Acting,Simultaneous Action Selection,Singing,Voting","Libellud,ADC Blackfire Entertainment,Asmodee,Asterion Press,hobbity.eu,Hobby Japan,HomoLudicus,KADABRA,Kaissa Chess & Games,Lautapelit.fi",1149,5.74829,69.74114,-41.597122,35.149307
51072,116,119432,5.0,90.0,10.0,1.0,30.0,Snowdonia,2012,"Tony Boydell,Klemens Franz,Charlie Paull",Trains,Snowdonia: Deluxe Master Set,Tony Boydell,"Components: Miniatures,Components: Multi-Use Cards,Country: Wales,Crowdfunding: Kickstarter,Digital Implementations: Yucata,Players: Games with Solitaire Rules,Series: Snowdonia Game System","Card Drafting,Events,Hand Management,Turn Order: Claim Action,Worker Placement","Surprised Stare Games Ltd,Indie Boards & Cards,Lookout Games,NSKN Games,uplay.it edizioni",4641,7.36821,-20.442099,-30.619877,-11.725382
51084,128,119464,4.0,15.0,5.0,2.0,15.0,Tier auf Tier: Jetzt geht's rund!,2012,Michael Bayer,"Action / Dexterity,Animals,Children's Game",,"Klaus Miltenberger,Kristin Mückel","Animals: Alligators / Crocodiles,Animals: Sharks,Game: Tier auf Tier",Stacking and Balancing,HABA,238,6.52584,58.68026,-36.555798,5.0688934
51089,133,119472,12.0,30.0,8.0,2.0,30.0,Konito?,2012,Igor Polouchine,"Real-time,Trivia",,Richard Champion,,"Modular Board,Storytelling","IELLO,Play Factory",118,5.53856,75.79168,-22.919432,60.628105
51096,140,119500,6.0,45.0,7.0,3.0,45.0,Wanna Bet?,2012,Jussi Wallenius,"Humor,Party Game",,,,"Betting and Bluffing,Roll / Spin and Move",Tactic,123,5.51951,28.022947,14.750936,60.009174
51101,145,119506,4.0,120.0,13.0,1.0,60.0,Freedom: The Underground Railroad,2012,"Jarek Nocoń,Steve Paschal","American Civil War,Economic,Educational,Political",,Brian Mayer,"Country: USA,Crowdfunding: Kickstarter,Players: Games with Solitaire Rules,Theme: African Americans","Auction: Dutch,Cooperative Game,Pick-up and Deliver,Point to Point Movement,Push Your Luck,Solo / Solitaire Game,Variable Player Powers","Academy Games, Inc.,(Self-Published),(Web published),ASYNCRON games",3956,7.58485,-53.332016,-19.949308,-12.21452
51118,162,119591,5.0,45.0,10.0,2.0,45.0,Rialto,2013,"Andreas Resch,Hans-Georg Schneider","Political,Renaissance",,Stefan Feld,"Cities: Venice (Veneto, Italy),Country: Italy","Area Majority / Influence,Auction/Bidding,Card Drafting","Pegasus Spiele,Ludonova,Rebel Sp. z o.o.,Tasty Minstrel Games",3788,6.90276,-47.347553,-12.358269,-9.778428
51123,167,119622,4.0,120.0,14.0,2.0,60.0,Massilia,2014,"Maxime Brienne,Gemma Tegelaers",Economic,,Alain Epron,"Ancient: Rome,Cities: Marseille (France),Country: France,Series: Master Print Edition (Quined)","Action Points,Dice Rolling,Tile Placement",Quined Games,224,5.48143,-8.542524,-10.590381,57.41388
51129,173,119632,4.0,30.0,8.0,2.0,30.0,IOTA,2012,Gene Mackles,"Abstract Strategy,Card Game",,Gene Mackles,"Misc: Mensa Select,Series: Match the most and win! (Scala leuker leren)","Pattern Building,Pattern Recognition,Tile Placement","(Self-Published),AURUM, Inc.,FoxMind Israel,Game Factory,Gamewright,Lifestyle Boardgames Ltd,Reflexshop,White Goblin Games",1444,6.17321,33.75254,-45.280033,26.17833
