game_id,max_players,max_playtime,min_age,min_players,min_playtime,name,playing_time,year_published,category,compilation,designer,expansion,mechanic,publisher,average_rating,users_rated,x,y,z
167763,5,75,15,2,45,DC Comics Deck-Building Game: Teen Titans,75,2015,"Card Game,Comic Book / Strip",,Richard Brady,"DC Comics Deck-Building Game: Crisis Expansion Pack 1,DC Comics Deck-Building Game: Crisis Expansion Pack 2,DC Comics Deck-Building Game: Crisis Expansion Pack 3,DC Comics Deck-Building Game: Crossover Pack 1 – Justice Society of America,DC Comics Deck-Building Game: Crossover Pack 2 – Arrow,DC Comics Deck-Building Game: Crossover Pack 3 – Legion of Super-Heroes,DC Comics Deck-Building Game: Crossover Pack 4 – Watchmen,DC Comics Deck-Building Game: Crossover Pack 5 – The Rogues,DC Comics Deck-Building Game: Crossover Pack 6 – Birds of Prey,DC Comics Deck-Building Game: Kid Flash,DC Comics Deck-Building Game: Skitter,DC Deck-Building Game: Multiverse Box",Deck / Pool Building,Cryptozoic Entertainment,7.24048,381,63.85592,16.657732,7.420159
167791,5,120,12,1,90,Terraforming Mars,120,2016,"Economic,Environmental,Industry / Manufacturing,Science Fiction,Territory Building",,Jacob Fryxelius,"Terraforming Mars: Hellas & Elysium,Terraforming Mars: Schneealgen Promokarte,Terraforming Mars: Small Asteroid promo","Card Drafting,Hand Management,Tile Placement,Variable Player Powers","FryxGames,Ghenos Games,Intrafin Games,Lavka Games,Maldito Games,REBEL.pl,Schwerkraft-Verlag,Stronghold Games",8.38065,8126,-50.46233,-0.6879754,-44.494743
167828,4,30,8,1,30,Roll Through the Ages: The Iron Age with Mediterranean Expansion,30,2014,"Ancient,Civilization,Dice","Roll Through the Ages: The Iron Age,Roll Through the Ages: The Iron Age – The Mediterranean Expansion",Thomas Lehmann,,Dice Rolling,Eagle-Gryphon Games,7.04036,138,-15.71172,-40.064354,55.71421
167892,5,30,10,3,30,Gang Up!,30,2015,"Card Game,Comic Book / Strip,Humor,Mafia,Spies/Secret Agents",,"Robin Keijzer,Paul van der Meer",,"Betting/Wagering,Co-operative Play,Partnerships","(Self-Published),(Web published),Czacha Games,HOT Games",6.62596,52,36.42346,56.152706,-15.790071
168054,4,30,14,2,30,Grifters,30,2015,"Card Game,Mafia",,"Dave Fulton,Jacob Tlapek",,"Deck / Pool Building,Hand Management,Set Collection,Take That","Jacksmack Games,Heidelberger Spieleverlag,Indie Boards & Cards",7.02263,598,37.597923,58.84057,-7.671911
168215,2,30,8,1,30,Saboteur: The Duel,30,2014,"Bluffing,Card Game,Exploration",,Fréderic Moyersoen,,"Hand Management,Route/Network Building","999 Games,AMIGO Spiel + Freizeit GmbH,Asmodee,Brain Games,G3,Gigamic,Giochi Uniti,Mayfair Games,Mercurio,Piatnik,Swan Panasia Co., Ltd.",6.38288,354,4.2353315,-0.7681427,-3.7829027
168232,4,30,10,1,30,Project Dreamscape,30,2015,"Card Game,Science Fiction",,"Sarah Reed,Will Reed",,"Deck / Pool Building,Set Collection",Undine Studios,6.72056,179,39.98411,9.640021,29.124884
168250,0,30,13,2,30,Battle for Sularia,30,2016,"Card Game,Fighting,Science Fiction",,"Jesse Bergman,John Kimmel (I)","Battle for Sularia: Blood, Profit, and Glory","Card Drafting,Deck / Pool Building,Hand Management,Take That,Variable Player Powers",Punch-It Entertainment LLC,7.5108,50,32.24929,14.490687,-12.931902
168265,4,20,9,2,20,oddball Aeronauts 2: Double the Trouble,20,2015,"Card Game,Fantasy",,Nigel Pyne,"Oddball Aeronauts: Snowtide Event Cards,Oddball Aeronauts: Snowtide Mercenary Cards",Hand Management,maverick muse,6.835,70,-1.9274454,-6.2695074,-16.336628
168274,4,120,14,1,120,Mistfall,120,2015,"Adventure,Card Game,Fantasy",Mistfall: Kickstarter Edition,Błażej Kubacki,"Mistfall: Encounter Pack 1,Mistfall: Enemy Pack 1,Mistfall: Quest & Nightmare Time Cards,Mistfall: Sand & Snow,Mistfall: Valskyrr – Campaign System","Co-operative Play,Deck / Pool Building,Modular Board,Variable Player Powers","Games Factory Publishing,HC Distribuzione,Heidelberger Spieleverlag,NSKN Games,Passport Game Studios,Radikal Games Ltd.",7.03679,1016,35.00464,10.293003,-51.67628
